Symbol,Exchange,"Change 1m, %","Change 5m, %","Change 15m, %","Change 1h, %","Change 4h, %",Change %,Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,YTD Performance,Yearly Performance,1-Year Beta,Volatility
558,HKEX,-0.14662757,-0.14662757,-0.58394161,-0.87336245,27.28971963,-0.14662757,66.09756098,477.1186441,886.9565217,1483.72093,315.2439024,1333.684211,1.5905505,39.29961089
3738,HKEX,0.94043887,0,0.155521,1.89873418,-4.59259259,0.94043887,12.98245614,103.539823,409.4936709,1083.823529,84,1455.555556,1.1527392,15.03378378
3800,HKEX,-0.3968254,0,-0.79051383,-1.56862745,-5.28301887,-0.3968254,30.05181347,71.91780822,627.5362319,1040.909091,104.0650407,587.6712329,2.0898583,24.12280702
305,HKEX,0.89686099,0,-0.44247788,-0.44247788,-4.66101695,0.89686099,-20.21276596,-27.41935484,383.8709677,571.641791,-0.44247788,862.9540864,4.798524,17.15686275
8506,HKEX,0,0,0,0,-4.6875,0,-18.66666667,148.9795918,205,548.9361702,106.779661,1073.076923,-0.23442513,6.66666667
1183,HKEX,-0.36036036,0.54545455,0.54545455,0.54545455,6.96324952,-0.36036036,13.31967213,51.50684932,164.5933014,402.7272727,54.46927374,306.6176471,0.8510809,15.24390244
1121,HKEX,1.07526882,4.44444444,20.51282051,25.33333333,56.66666667,1.07526882,132.0987654,108.8888889,337.2093023,342.3529412,137.9746835,254.7169811,0.18420066,65.57377049
3318,HKEX,0.11890606,-1.17370892,-0.94117647,-1.17370892,-3.2183908,0.11890606,36.24595469,416.5644172,373.0337079,338.5416667,395.2941177,389.5348837,2.4108756,22.20762155
1134,HKEX,0,0,0,0.68259386,0,0,-2.96052632,-8.95061728,368.2539683,333.8235294,-9.50920245,340.2985075,0.3637691,5.80204778
1799,HKEX,0.1996008,0,1.00603622,0.4,-7.03703704,0.1996008,3.71900398,121.7314488,221.7948718,332.7586207,124.9103943,214.1426784,1.2045177,20.35398673
2798,HKEX,-0.40053405,-0.40053405,-0.40053405,0,3.03867403,-0.40053405,4.628331,51.93482688,78.25567503,319.1011236,49.34934935,638.6138614,0.46072698,3.59116022
1332,HKEX,-1.33333333,-1.33333333,-1.33333333,-2.63157895,-12.4260355,-1.33333333,49.49494949,138.7096774,196,300,97.33333333,636.318408,2.0347915,26.8115942
1760,HKEX,0.22547914,0.4519774,-0.22446689,0.4519774,4.4653349,0.22547914,94.95614035,211.9298246,206.5517241,295.1111111,204.4520548,176.0869565,0.9369199,22.52010724
1709,HKEX,1.6286645,0,-2.5,-2.19435737,-1.88679245,1.6286645,-1.26582278,18.18181818,188.8888889,280.4878049,20,372.7272727,0.8204797,12.78688525
975,HKEX,0,0.5952381,0.5952381,0.5952381,-0.58823529,0,-15.5,34.12698413,275.5555556,252.0833333,38.52459016,191.3793103,0.35639408,9.14634146
1211,HKEX,0,0.15936255,-0.47505938,-0.31720856,-3.82555471,0,3.03278689,25.88883325,68.61165871,251.8544584,23.72047244,429.8208529,1.8142663,9.00082576
1585,HKEX,0,0,-0.47281324,-0.47281324,-5.18018018,0,8.17061193,47.40896359,87.94642857,248.5099338,31.39825218,799.5726496,0.94557595,15.38461538
1979,HKEX,0.82304527,0.82304527,0.82304527,1.23966942,-5.76923077,0.82304527,7.45614035,21.89054726,100.8196721,245.0704225,20.09803922,160.6382979,0.8970618,20.93023256
329,HKEX,-0.50251256,-0.50251256,-0.50251256,-0.50251256,-1.98019802,-0.50251256,-4.80769231,34.69387755,22.98136646,235.5932203,34.69387755,41.42857143,0.49167508,6.31578947
1909,HKEX,0,0.2247191,1.36363636,0.6772009,-1.10864745,0,0.45045045,6.95443645,-16.47940075,235.338598,-5.10638298,157.3078902,0.00154568,5.37383178
