"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"AACQ","Artius Acquisition Inc.","NASD","","",,"",10.450,1713562
"ABNB","Airbnb Inc.","NASD","Communication Services","Internet",,"",200.010,4605572
"ACB","Aurora Cannabis Inc.","NYSE","Health Care","Pharmaceuticals",,"",10.440,12948204
"ACCD","Accolade Inc.","NASD","Technology","Software",,"",46.230,1054518
"ACI","Albertsons Companies, Inc","NYSE","Consumer Staples","Food Retailers",,"",19.000,1426393
"ACIC","Atlas Crest Investment Corp.","NYSE","","",,"",10.560,2287305
"ACTC","ArcLight Clean Transition Corp","NASD","","",,"",18.550,1107516
"ADCT","ADC Therapeutics SA","NYSE","Health Care","Biotechnology",,"",29.250,2697318
"ADPT","Adaptive Biotechnologies Corp.","NASD","Health Care","Biotechnology",,"",44.260,2124596
"AEVA","Aeva Technologies, Inc.","NYSE","","",,"",15.080,3198289
"AFRM","Affirm Holdings Inc.","NASD","","",,"",80.800,1609330
"AGC","Altimeter Growth Corp.","NASD","","",,"",12.850,1052766
"AI","C3.ai Inc.","NYSE","Technology","Software",,"",83.000,3713651
"AIRC","Apartment Income REIT Corp.","NYSE","Real Estate","Residential REITs",,"",44.700,2065051
"ALTU","Altitude Acquisition Corp.","NASD","","",,"",10.410,1035696
"ALUS","Alussa Energy Acquisition Corp.","NYSE","","",,"",10.190,1010358
"AMTX","Aemetis, Inc.","NASD","Materials","Specialty Chemicals",,"",18.420,1757592
"AMWL","American Well Corporation","NYSE","Health Care","Health Care Providers",,"",22.020,7515604
"ANVS","Annovis Bio Inc.","NYSE","Health Care","Biotechnology",,"",33.300,1738172
"AONE","One","NYSE","","",,"",12.600,1230477
"APHA","Aphria, Inc.","NASD","Health Care","Pharmaceuticals",,"",20.220,19696375
"API","Agora Inc","NASD","Technology","Software",,"",62.320,1300917
"APPH","AppHarvest, Inc.","NASD","","",,"",23.120,2320585
"APXT","Apex Technology Acquisition Corp","NASD","","",,"",12.970,1077916
"ARRY","Array Technologies Inc.","NASD","Technology","Renewable Energy Equipment",,"",35.940,2235843
"ASAN","Asana, Inc.","NYSE","Technology","Software",,"",33.340,1512408
"ATCO","Atlas Corp","NYSE","Industrial","Marine Transportation",,"",14.310,1136210
"AUPH","Aurinia Pharmaceuticals Inc.","NASD","Health Care","Biotechnology",,"",13.830,4566291
"AVTR","Avantor, Inc.","NYSE","Materials","Specialty Chemicals",,"",27.960,3383083
"BEKE","KE Holdings, Inc.","NYSE","Communication Services","Internet",,"",65.300,11923368
"BFLY","Butterfly Network, Inc.","NYSE","Health Care","Medical Equipment",,"",16.970,4784246
"BFT","Foley Trasimene Acquisition Corp.","NYSE","","",,"",16.620,7902244
"BIGC","BigCommerce Holdings Inc.","NASD","Technology","Software",,"",56.230,2323581
