Symbol,Name,Exchange,Sector,Industry,SCTR,Universe,Close,Volume
AACQ,Artius Acquisition Inc.,NASD,,,,,10.45,1713562
ABNB,Airbnb Inc.,NASD,Communication Services,Internet,,,200.01,4605572
ACB,Aurora Cannabis Inc.,NYSE,Health Care,Pharmaceuticals,,,10.44,12948204
ACCD,Accolade Inc.,NASD,Technology,Software,,,46.23,1054518
ACI,"Albertsons Companies, Inc",NYSE,Consumer Staples,Food Retailers,,,19,1426393
ACIC,Atlas Crest Investment Corp.,NYSE,,,,,10.56,2287305
ACTC,ArcLight Clean Transition Corp,NASD,,,,,18.55,1107516
ADCT,ADC Therapeutics SA,NYSE,Health Care,Biotechnology,,,29.25,2697318
ADPT,Adaptive Biotechnologies Corp.,NASD,Health Care,Biotechnology,,,44.26,2124596
AEVA,"Aeva Technologies, Inc.",NYSE,,,,,15.08,3198289
AFRM,Affirm Holdings Inc.,NASD,,,,,80.8,1609330
AGC,Altimeter Growth Corp.,NASD,,,,,12.85,1052766
AI,C3.ai Inc.,NYSE,Technology,Software,,,83,3713651
AIRC,Apartment Income REIT Corp.,NYSE,Real Estate,Residential REITs,,,44.7,2065051
ALTU,Altitude Acquisition Corp.,NASD,,,,,10.41,1035696
ALUS,Alussa Energy Acquisition Corp.,NYSE,,,,,10.19,1010358
AMTX,"Aemetis, Inc.",NASD,Materials,Specialty Chemicals,,,18.42,1757592
AMWL,American Well Corporation,NYSE,Health Care,Health Care Providers,,,22.02,7515604
ANVS,Annovis Bio Inc.,NYSE,Health Care,Biotechnology,,,33.3,1738172
AONE,One,NYSE,,,,,12.6,1230477
APHA,"Aphria, Inc.",NASD,Health Care,Pharmaceuticals,,,20.22,19696375
API,Agora Inc,NASD,Technology,Software,,,62.32,1300917
APPH,"AppHarvest, Inc.",NASD,,,,,23.12,2320585
APXT,Apex Technology Acquisition Corp,NASD,,,,,12.97,1077916
ARRY,Array Technologies Inc.,NASD,Technology,Renewable Energy Equipment,,,35.94,2235843
ASAN,"Asana, Inc.",NYSE,Technology,Software,,,33.34,1512408
ATCO,Atlas Corp,NYSE,Industrial,Marine Transportation,,,14.31,1136210
AUPH,Aurinia Pharmaceuticals Inc.,NASD,Health Care,Biotechnology,,,13.83,4566291
AVTR,"Avantor, Inc.",NYSE,Materials,Specialty Chemicals,,,27.96,3383083
BEKE,"KE Holdings, Inc.",NYSE,Communication Services,Internet,,,65.3,11923368
BFLY,"Butterfly Network, Inc.",NYSE,Health Care,Medical Equipment,,,16.97,4784246
BFT,Foley Trasimene Acquisition Corp.,NYSE,,,,,16.62,7902244
BIGC,BigCommerce Holdings Inc.,NASD,Technology,Software,,,56.23,2323581
BILI,"Bilibili, Inc.",NASD,Communication Services,Internet,,,113.31,7709500
BIOX,Bioceres Crop Solutions Corp.,AMEX,Materials,Commodity Chemicals,,,11.1,2359808
BLI,Berkeley Lights Inc.,NASD,Health Care,Biotechnology,,,54.21,1234961
BMBL,Bumble Inc.,NASD,Technology,Software,,,73,1565916
BNTX,BioNTech SE,NASD,Health Care,Biotechnology,,,108.1,1377287
BTBT,Bit Digital Inc.,NASD,Financial,Specialty Finance,,,16.62,1546730
BTWN,Bridgetown Holdings Ltd.,NASD,,,,,12.46,1597311
CAN, Canaan Inc,NASD,Technology,Semiconductors,,,28.95,14917928
CANG,Cango Inc.,NYSE,Technology,Software,,,10.22,1237841
