"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"VIAC","ViacomCBS Inc","NASD","Communication Services","Entertainment",99.9,"lrg",96.240,29110142
"OVV","Ovintiv Inc","NYSE","Energy","Exploration & Production",99.8,"mid",26.710,5407626
"DISCA","Discovery, Inc.","NASD","Communication Services","Entertainment",99.7,"lrg",75.810,11261100
"SM","SM Energy Co.","NYSE","Energy","Exploration & Production",99.7,"sml",18.490,2780531
"WAL","Western Alliance Bancorp.","NYSE","Financial","Banks",99.7,"mid",97.020,545608
"AMRS","Amyris Inc.","NASD","Materials","Specialty Chemicals",99.6,"sml",21.830,3730059
"CIT","CIT Group Inc.","NYSE","Financial","Specialty Finance",99.6,"mid",52.320,891143
"FPRX","Five Prime Therapeutics, Inc.","NASD","Health Care","Biotechnology",99.6,"sml",37.780,1337510
"CHX","ChampionX Corporation","NASD","Energy","Oil Equipment & Services",99.5,"mid",24.540,1797311
"RUBY","Rubius Therapeutics, Inc.","NASD","Health Care","Biotechnology",99.5,"sml",32.005,9100260
"SBNY","Signature Bank","NASD","Financial","Banks",99.5,"mid",241.570,571948
"TRIP","TripAdvisor, Inc.","NASD","Communication Services","Internet",99.5,"lrg",58.620,3653159
"KOPN","Kopin Corp.","NASD","Technology","Semiconductors",99.4,"sml",9.930,3769597
"M","Macy's Inc.","NYSE","Consumer Discretionary","Broadline Retailers",99.3,"lrg",20.130,25304161
"VIPS","Vipshop Holdings Ltd.","NYSE","Consumer Discretionary","Broadline Retailers",99.3,"mid",42.920,5443490
"CLNE","Clean Energy Fuels Corp.","NASD","Energy","Integrated Oil & Gas",99.2,"sml",14.965,7300844
"WES","Western Gas Partners, L.P.","NYSE","Energy","Exploration & Production",99.2,"mid",19.000,1462749
"JWN","Nordstrom, Inc.","NYSE","Consumer Discretionary","Apparel Retailers",99.1,"lrg",44.860,4773072
"SNAP","Snap Inc.","NYSE","Communication Services","Internet",99.0,"mid",62.230,18260210
"KSS","Kohls Corp.","NYSE","Consumer Discretionary","Apparel Retailers",98.9,"lrg",61.120,2685618
"SPR","Spirit AeroSystems Holdings Inc.","NYSE","Industrial","Aerospace",98.9,"mid",50.160,2504482
"SABR","Sabre Corp.","NASD","Consumer Discretionary","Travel & Tourism",98.8,"mid",16.010,6864479
"VUZI","Vuzix Corp.","NASD","Technology","Electronic Equipment",98.8,"sml",18.940,8276414
"DCP","DCP Midstream, LP","NYSE","Energy","Pipelines",98.7,"mid",24.930,1031079
"MESA","Mesa Air Group Inc","NASD","Industrial","Airlines",98.6,"sml",14.740,1309594
"PNFP","Pinnacle Financial Partners, Inc.","NASD","Financial","Banks",98.6,"mid",89.990,342122
"AEO","American Eagle Outfitters, Inc.","NYSE","Consumer Discretionary","Apparel Retailers",98.5,"mid",30.330,2441723
"FANG","Diamondback Energy, Inc.","NASD","Energy","Exploration & Production",98.5,"lrg",82.090,5632064
"ORGO","Organogenesis Holdings Inc.","NASD","Health Care","Medical Supplies",98.5,"sml",17.060,687211
"AER","AerCap Holdings NV","NYSE","Industrial","Transportation Services",98.4,"mid",59.770,1911029
"CPRI","Capri Holdings Ltd.","NYSE","Consumer Discretionary","Clothing & Accessories",98.3,"lrg",55.650,1962046
"EWBC","East West Bancorp, Inc.","NASD","Financial","Banks",98.3,"mid",77.090,867832
"TPR","Tapestry, Inc.","NYSE","Consumer Discretionary","Clothing & Accessories",98.2,"lrg",44.810,3391709
"WBS","Webster Financial Corp.","NYSE","Financial","Banks",98.2,"mid",60.220,645799
"PACW","PacWest Bancorp","NASD","Financial","Banks",98.1,"mid",40.100,1540709
"AA","Alcoa Corp.","NYSE","Materials","Aluminum",98.0,"mid",29.520,5035135
"ADS","Alliance Data Systems","NYSE","Financial","Financial Administration",98.0,"lrg",112.670,1141565
"EOLS","Evolus Inc.","NASD","Health Care","Pharmaceuticals",98.0,"sml",13.420,1140823
"CMRX","Chimerix, Inc.","NASD","Health Care","Pharmaceuticals",97.9,"sml",10.270,418815
"SLM","SLM Holding Corp.","NASD","Financial","Consumer Finance",97.9,"mid",17.210,7264385
"SNV","Synovus Financial Corp.","NYSE","Financial","Banks",97.9,"mid",48.150,954295
"EVR","Evercore Partners Inc.","NYSE","Financial","Asset Managers",97.8,"mid",140.700,320499
"SLCA","US Silica Holdings, Inc.","NYSE","Materials","General Mining",97.8,"sml",13.590,740033
"XEC","Cimarex Energy Co.","NYSE","Energy","Exploration & Production",97.8,"lrg",63.430,947664
"CLF","Cleveland-Cliffs Inc","NYSE","Materials","Steel",97.7,"mid",15.920,14058878
"CTRN","Citi Trends, Inc.","NASD","Consumer Discretionary","Apparel Retailers",97.7,"sml",90.730,401250
"LC","Lending Club Corp.","NYSE","Financial","Consumer Finance",97.7,"sml",17.920,8601178
"AMCX","AMC Networks Inc.","NASD","Communication Services","Entertainment",97.6,"sml",76.310,473966
"BYD","Boyd Gaming Corp.","NYSE","Consumer Discretionary","Gambling",97.6,"mid",62.350,813242
"MRO","Marathon Oil","NYSE","Energy","Integrated Oil & Gas",97.6,"lrg",11.460,21556074
"KIRK","Kirkland's, Inc.","NASD","Consumer Discretionary","Specialty Retailers",97.5,"sml",28.690,939611
"MRNA","Moderna Inc.","NASD","Health Care","Pharmaceuticals",97.5,"mid",156.020,16991599
"DAR","Darling Ingredients Inc.","NYSE","Consumer Staples","Food Products",97.4,"mid",76.430,1142394
"DVN","Devon Energy Corp.","NYSE","Energy","Exploration & Production",97.4,"lrg",23.510,9902649
"PK","Park Hotels & Resorts Inc.","NYSE","Real Estate","Hotel & Lodging REITs",97.3,"mid",23.760,2535542
"COHR","Coherent, Inc.","NASD","Technology","Electronic Equipment",97.2,"mid",248.710,275684
"IVZ","Invesco Ltd.","NYSE","Financial","Asset Managers",97.2,"lrg",25.250,10650716
"TS","Tenaris SA","NYSE","Materials","Steel",97.1,"mid",22.960,2024472
"VEDL","Vedanta Ltd.","NYSE","Materials","Steel",97.1,"mid",12.850,1546691
"GPRO","GoPro, Inc.","NASD","Consumer Discretionary","Recreational Products",97.0,"sml",12.830,26429040
"OXY","Occidental Petroleum Corp.","NYSE","Energy","Exploration & Production",97.0,"lrg",28.170,16894958
"STL","Sterling Bancorp","NYSE","Financial","Banks",97.0,"mid",24.420,3691880
"MTZ","Mastec, Inc.","NYSE","Industrial","Heavy Construction",96.9,"mid",94.940,847052
"LB","L Brands, Inc.","NYSE","Consumer Discretionary","Apparel Retailers",96.8,"lrg",60.270,2686477
"PPBI","Pacific Premier Bancorp, Inc.","NASD","Financial","Banks",96.8,"mid",45.460,384281
"SIG","Signet Jewelers Ltd.","NYSE","Consumer Discretionary","Apparel Retailers",96.8,"sml",59.810,1357657
"AMG","Affiliated Managers Group Inc.","NYSE","Financial","Asset Managers",96.7,"lrg",147.740,471507
"LYFT","Lyft Inc.","NASD","Technology","Software",96.7,"mid",64.690,6503260
"TTM","Tata Motors Ltd.","NYSE","Industrial","Commercial Vehicles",96.6,"mid",21.810,1012517
"PLT","Plantronics, Inc.","NYSE","Technology","Telecom Equipment",96.5,"sml",44.090,651628
"SIVB","SVB Financial Group","NASD","Financial","Banks",96.5,"lrg",539.850,421621
"SJR","Shaw Communications, Inc.","NYSE","Communication Services","Entertainment",96.5,"mid",27.870,4146873
"AR","Antero Resources Corp.","NYSE","Energy","Exploration & Production",96.4,"sml",9.930,6566967
"TMST","Timken Steel Corp.","NYSE","Materials","Steel",96.4,"sml",10.560,950519
"BCRX","BioCryst Pharmaceuticals, Inc.","NASD","Health Care","Biotechnology",96.3,"sml",13.010,5778614
"FCX","Freeport-McMoRan, Inc.","NYSE","Materials","Nonferrous Metals",96.3,"lrg",34.990,21241863
"QRTEA","Qurate Retail, Inc.","NASD","Communication Services","Entertainment",96.3,"mid",12.670,4570934
"REVG","REV Group, Inc.","NYSE","Industrial","Commercial Vehicles",96.3,"sml",20.340,276427
"IMPUY","Impala Platinum Holdings Ltd.","OTCMKT","Materials","Nonferrous Metals",96.2,"mid",19.250,230869
"AGO","Assured Guaranty Ltd.","NYSE","Financial","Property-Casualty Insurance",96.1,"mid",43.690,538831
"GPS","Gap, Inc.","NYSE","Consumer Discretionary","Apparel Retailers",96.1,"lrg",31.160,5896890
"VRTV","Veritiv Corp.","NYSE","Industrial","Industrial Suppliers",96.0,"sml",40.090,328482
"AAL","American Airlines Group Inc.","NASD","Industrial","Airlines",95.9,"lrg",24.470,47923579
"MT","ArcelorMittal SA","NYSE","Materials","Steel",95.9,"mid",27.010,10708642
"PDCE","PDC Energy, Inc.","NASD","Energy","Exploration & Production",95.9,"sml",37.760,1291389
"FATE","Fate Therapeutics, Inc.","NASD","Health Care","Biotechnology",95.8,"mid",89.730,713543
"JEF","Jefferies Financial Group Inc.","NYSE","Financial","Asset Managers",95.7,"lrg",33.360,2167977
"TCS","The Container Store Group, Inc.","NYSE","Consumer Discretionary","Specialty Retailers",95.7,"sml",17.400,2189083
"VLY","Valley National Bancorp","NASD","Financial","Banks",95.7,"mid",13.990,2373494
"SONO","Sonos Inc.","NASD","Technology","Electronic Equipment",95.6,"sml",42.250,2141873
"TX","Ternium SA","NYSE","Materials","Steel",95.6,"mid",36.850,1332214
"FNKO","Funko, Inc.","NASD","Consumer Discretionary","Clothing & Accessories",95.5,"sml",17.960,1759840
"GE","General Electric Co.","NYSE","Industrial","Diversified Industrials",95.5,"lrg",13.150,74421130
"GWPH","GW Pharmaceuticals plc","NASD","Health Care","Pharmaceuticals",95.5,"mid",215.540,1071812
"VOXX","Audiovox Corp.","NASD","Technology","Telecom Equipment",95.5,"sml",22.940,202639
"WTFC","Wintrust Financial Corp.","NASD","Financial","Banks",95.5,"mid",83.200,392288
"OZK","Bank OZK","NASD","Financial","Banks",95.4,"mid",44.280,837238
"AMAT","Applied Materials, Inc.","NASD","Technology","Semiconductors",95.3,"lrg",118.500,10383010
"GRWG","GrowGeneration Corp.","NASD","Consumer Discretionary","Home Improvement Retailers",95.3,"sml",51.780,2304795
"OLN","Olin Corp.","NYSE","Materials","Commodity Chemicals",95.3,"sml",35.480,2637757
"ENPH","Enphase Energy Inc.","NASD","Technology","Renewable Energy Equipment",95.2,"lrg",166.310,2385411
"OII","Oceaneering Intl, Inc.","NYSE","Energy","Oil Equipment & Services",95.2,"sml",13.430,1053537
"TMDX","Transmedics Group Inc.","NASD","Health Care","Medical Supplies",95.2,"sml",42.790,1009305
"TNL","Travel + Leisure Co.","NYSE","Consumer Discretionary","Hotels",95.2,"mid",63.210,457697
"AGCO","AGCO Corp.","NYSE","Industrial","Commercial Vehicles",95.1,"mid",142.110,688692
"BHC","Bausch Health Cos. Inc.","NYSE","Health Care","Pharmaceuticals",95.1,"mid",33.380,12166155
"MTDR","Matador Resources Co.","NYSE","Energy","Exploration & Production",95.1,"sml",25.300,1391274
"HP","Helmerich & Payne Inc.","NYSE","Energy","Oil Equipment & Services",95.0,"lrg",31.390,1385575
"TDC","Teradata Corp.","NYSE","Technology","Computer Services",95.0,"mid",44.000,782951
"KOD","Kodiak Sciences Inc.","NASD","Health Care","Biotechnology",94.8,"mid",129.080,310791
"UAA","Under Armour, Inc.","NYSE","Consumer Discretionary","Clothing & Accessories",94.8,"lrg",23.380,3985510
"WOW","Wideopenwest, Inc.","NYSE","Technology","Telecom Equipment",94.8,"sml",16.680,341529
"CLR","Continental Resources Inc.","NYSE","Energy","Exploration & Production",94.7,"mid",27.380,2467763
"EXPE","Expedia, Inc","NASD","Consumer Discretionary","Travel & Tourism",94.6,"lrg",176.380,3080817
"FTCH","Farfetch Ltd.","NYSE","Communication Services","Internet",94.6,"mid",59.250,7857180
"UCTT","Ultra Clean Holdings Inc.","NASD","Technology","Semiconductors",94.6,"sml",56.550,963708
"AMKR","Amkor Technology, Inc.","NASD","Technology","Semiconductors",94.5,"mid",23.105,1234898
"MTW","Manitowoc Co, Inc.","NYSE","Industrial","Commercial Vehicles",94.5,"sml",21.940,646047
"SNBR","Sleep Number Corporation","NASD","Consumer Discretionary","Furnishings",94.5,"sml",142.100,570169
"ATKR","Atkore International Group Inc.","NYSE","Technology","Electrical Components",94.4,"sml",72.260,323479
"NWSA","News Corp.","NASD","Communication Services","Publishing",94.4,"lrg",26.480,4250159
"TRGP","Targa Resources Corp.","NYSE","Energy","Exploration & Production",94.4,"mid",32.940,1138645
